OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST,index_right,FID,SBZ,Name
255657,14230915148110642830,14,7,13,000,2023,09,07,6,3,5,3,0,0,0,1,0,0,0,0,"738645,041000000201166","5695290,823000000789762",12.427917190000073,51.35867274100008,1,1,1,1,Nordost
255658,14230904148310654081,14,7,13,000,2023,09,13,2,2,5,2,0,0,1,1,0,0,0,0,"730435,436700000427663","5693929,851999999955297",12.309327491000033,51.34984393600007,1,7,7,7,Alt-West
255659,14230904148110620000,14,7,13,000,2023,09,07,2,3,5,3,0,0,1,0,0,0,0,0,"735024,179700000211596","5695100,331900000572205",12.37587869500004,51.35847191100004,1,0,0,0,Mitte
255660,14230904144200730870,14,7,13,000,2023,09,11,2,3,5,3,0,0,0,0,0,1,0,1,"730269,474399999715388","5691369,149100000038743",12.305292905000044,51.326923771000054,1,6,6,6,West
255661,14230904144200626680,14,7,13,000,2023,09,18,2,3,2,6,0,0,0,1,0,0,0,1,"734509,955500000156462","5695593,724300000816584",12.36883137600006,51.363113233000036,1,9,9,9,Nord
255663,14230904144200608550,14,7,13,000,2023,09,15,2,2,5,3,0,0,0,1,0,1,0,0,"737184,508500000461936","5693758,343200000002980",12.405956673000048,51.34552859900003,1,2,2,2,Ost
255678,14230903148410607720,14,7,13,000,2023,09,12,1,2,5,3,0,0,1,1,0,0,0,0,"736369,376500000245869","5693790,015599999576807",12.394294539000043,51.34615237300005,1,0,0,0,Mitte
255679,14230903148410607710,14,7,13,000,2023,09,16,1,3,0,1,0,0,0,0,0,0,0,1,"737181,937199999578297","5693694,413200000301003",12.405877234000059,51.34495583100005,1,2,2,2,Ost
255680,14230903148310638400,14,7,13,000,2023,09,22,1,3,0,7,2,0,0,0,0,0,0,1,"730689,950199999846518","5693757,525699999183416",12.31286437500006,51.34819374500006,1,7,7,7,Alt-West
255681,14230903148210608080,14,7,13,000,2023,09,19,1,3,5,3,0,0,1,1,0,0,0,0,"738740,912800000049174","5689302,773499999195337",12.425279768000053,51.30488440700003,1,3,3,3,Südost
255688,14230902148310652510,14,7,13,000,2023,09,10,7,3,2,2,0,0,0,1,0,0,0,0,"731548,100399999879301","5692159,372800000011921",12.324126718000059,51.333498517000066,1,7,7,7,Alt-West
255689,14230902148110628050,14,7,13,000,2023,09,12,7,3,5,3,0,0,1,1,0,0,0,0,"735072,126099999994040","5696757,089400000870228",12.377661213000067,51.373323638000045,1,9,9,9,Nord
255690,14230902144200653530,14,7,13,000,2023,09,11,7,3,1,7,0,0,0,1,0,0,0,0,"739329,436900000087917","5688943,795700000599027",12.433466524000039,51.30141519000006,1,3,3,3,Südost
255700,14230901148310607290,14,7,13,000,2023,09,22,6,3,4,6,2,1,1,0,0,0,0,0,"730784,868900000117719","5694902,586899999529123",12.314967569000032,51.35843431400008,1,7,7,7,Alt-West
255701,14230901148310606990,14,7,13,000,2023,09,11,6,3,1,3,0,0,1,1,0,0,0,0,"730303,845099999569356","5691272,554400000721216",12.305722969000044,51.326042725000036,1,7,7,7,Alt-West
255702,14230901148210697000,14,7,13,000,2023,09,05,6,3,5,3,1,0,1,0,0,0,0,0,"741507,991100000217557","5690299,661000000312924",12.465577034000034,51.31266507500004,1,3,3,3,Südost
255704,14230901144200607250,14,7,13,000,2023,09,16,6,3,6,4,0,0,0,1,1,0,0,0,"731856,991299999877810","5689288,419800000265241",12.326686295000059,51.30760063100007,1,5,5,5,Südwest
255717,14230831148410626460,14,7,13,000,2023,08,09,5,3,5,2,0,0,1,1,0,0,0,0,"735191,843299999833107","5694033,415799999609590",12.377577433000056,51.34882557000003,1,0,0,0,Mitte
255719,14230831143263606920,14,7,13,000,2023,08,19,5,3,5,7,0,0,1,1,0,0,0,0,"734862,254599999636412","5695642,360500000417233",12.373914995000064,51.36340429100005,1,9,9,9,Nord
255728,14230918144200654910,14,7,13,000,2023,09,14,2,3,5,3,0,0,0,1,0,0,0,0,"735883,528800000436604","5692598,122199999168515",12.386541391000037,51.33565542800005,1,0,0,0,Mitte
255730,14230830148410599810,14,7,13,000,2023,08,07,4,3,5,3,0,0,1,1,0,0,0,0,"735745,919900000095367","5693381,443800000473857",12.385087920000046,51.34274379400006,1,0,0,0,Mitte
255743,14230901148410607010,14,7,13,000,2023,09,08,6,3,5,4,0,0,0,1,1,0,0,0,"734512,681099999696016","5695155,102600000798702",12.368581301000063,51.35917486900007,1,9,9,9,Nord
255750,14230829149213608680,14,7,13,000,2023,08,15,3,2,2,6,0,0,0,1,0,0,0,0,"739047,029799999669194","5701252,288899999111891",12.437691777000055,51.41201227700003,1,9,9,9,Nord
255752,14230829148410607310,14,7,13,000,2023,08,17,3,3,1,5,0,0,1,1,0,0,0,0,"737045,217000000178814","5693763,904999999329448",12.403963948000069,51.345636615000046,1,2,2,2,Ost
255753,14230829148310643490,14,7,13,000,2023,08,03,3,3,5,3,2,1,0,1,0,0,0,0,"730703,068900000303984","5697295,819099999964237",12.315347539000072,51.37995126800007,1,8,8,8,Nordwest
255754,14230829148310607300,14,7,13,000,2023,08,21,3,3,0,1,2,1,0,0,0,1,0,0,"729972,791400000452995","5694290,374099999666214",12.302928163000047,51.35326770700004,1,7,7,7,Alt-West
