OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
224977,14200126144200182490,14,7,13,000,2020,01,16,1,3,5,3,0,0,1,0,0,0,0,"733984,203700000420000","5695413,032099999500000",12.361173848000021,51.36170801500003,0,9,9,9,Nord
224980,14200126144200175720,14,7,13,000,2020,01,18,1,2,5,3,2,1,1,0,0,0,0,"731713,460500000040000","5692789,898000000000000",12.326906473000065,51.33909128100004,0,7,7,7,Alt-West
224982,14200126144200169350,14,7,13,000,2020,01,06,1,3,5,3,2,0,1,0,0,0,0,"734977,558000000190000","5696036,123999999800000",12.375828458000058,51.36689116400004,0,9,9,9,Nord
224984,14200201148110188600,14,7,13,000,2020,02,20,7,3,5,3,2,1,1,0,0,0,0,"734876,640700000340000","5694490,792999999600000",12.37336106600003,51.35306147500006,1,0,0,0,Mitte
224985,14200210148210216810,14,7,13,000,2020,02,11,2,3,5,2,0,0,1,0,0,0,0,"741001,088999999690000","5694740,623099999500000",12.461321043000055,51.352740131000076,0,2,2,2,Ost
224986,14200201144200188550,14,7,13,000,2020,02,12,7,2,5,3,0,1,1,0,0,0,0,"735183,766999999990000","5688966,152000000700000",12.374118320000036,51.30334324000006,0,4,4,4,Süd
224987,14200211148410222040,14,7,13,000,2020,02,16,3,3,6,2,0,0,1,1,0,0,0,"734774,599100000230000","5692830,409800000500000",12.37080340700004,51.33819938900007,1,0,0,0,Mitte
224997,14200210148210211410,14,7,13,000,2020,02,05,2,3,0,7,2,0,1,1,0,0,0,"736369,862300000150000","5687643,982999999100000",12.390227719000052,51.290983932000074,1,4,4,4,Süd
225001,14200125148110169420,14,7,13,000,2020,01,18,7,3,5,3,2,0,1,0,1,0,0,"734286,974000000390000","5695620,626199999800000",12.365651813000056,51.36344670600005,0,9,9,9,Nord
225002,14200208144200206760,14,7,13,000,2020,02,19,7,2,5,3,2,0,1,0,0,0,0,"736563,523400000300000","5690726,584400000100000",12.395043448000024,51.318573713000035,0,0,0,0,Mitte
225003,14200131144200251870,14,7,13,000,2020,01,23,6,2,5,3,2,1,1,0,0,0,0,"734205,235000000340000","5692124,707000000400000",12.362179903000026,51.33209943000003,0,0,0,0,Mitte
225005,14200131144200230540,14,7,13,000,2020,01,17,6,3,5,2,2,1,1,0,0,0,0,"735243,134999999780000","5692296,551000000900000",12.377165412000068,51.33321366400003,0,0,0,0,Mitte
225011,14200213148110221990,14,7,13,000,2020,02,10,5,3,5,3,0,1,1,0,0,0,0,"736162,299800000150000","5699778,857599999800000",12.395305053000072,51.39999512800006,0,9,9,9,Nord
225017,14200210144000235120,14,7,13,000,2020,02,09,2,2,3,6,0,0,0,0,0,1,1,"735383,834800000300000","5697767,885700000500000",12.382801129000029,51.38226768900006,1,9,9,9,Nord
225028,14200130148310198930,14,7,13,000,2020,01,22,5,3,1,2,2,0,1,0,1,0,0,"732105,720200000330000","5692669,671000000100000",12.33244991500004,51.33785206200008,1,7,7,7,Alt-West
225029,14200130148110206840,14,7,13,000,2020,01,10,5,3,5,3,0,1,1,0,0,0,0,"736385,525999999610000","5695699,927699999900000",12.395794677000026,51.36328932300006,0,9,9,9,Nord
225032,14200130144200329350,14,7,13,000,2020,01,15,5,3,5,3,0,1,1,0,0,0,0,"734947,557000000030000","5695266,890000000600000",12.374890133000065,51.35999867700008,0,9,9,9,Nord
225034,14200130144200232940,14,7,13,000,2020,01,07,5,3,2,2,0,0,1,0,0,0,0,"731780,743900000120000","5689683,370500000200000",12.325850847000027,51.31117709800003,0,5,5,5,Südwest
225036,14200130144200182520,14,7,13,000,2020,01,13,5,2,6,7,0,0,1,1,0,0,0,"735206,361899999900000","5693801,042799999900000",12.377632020000021,51.346733707000055,0,0,0,0,Mitte
225055,14200124148410165950,14,7,13,000,2020,01,18,6,3,2,2,2,0,1,0,0,0,0,"734818,621799999850000","5692544,367699999400000",12.371245741000052,51.33561358500003,0,0,0,0,Mitte
225057,14200211144200282620,14,7,13,000,2020,02,14,3,3,3,5,0,0,1,0,0,0,0,"730107,832000000400000","5692214,398399999400000",12.30352263800006,51.334577006000075,1,7,7,7,Alt-West
225059,14200124148310165870,14,7,13,000,2020,01,16,6,3,4,6,0,1,1,0,0,0,0,"729246,160699999890000","5689763,529799999700000",12.289598001000059,51.31292313800003,0,6,6,6,West
225061,14200124148210238280,14,7,13,000,2020,01,17,6,3,6,2,2,0,1,1,0,0,0,"734898,824900000360000","5690896,418500000600000",12.371308940000063,51.32078779600005,0,4,4,4,Süd
225065,14200213144200221920,14,7,13,000,2020,02,14,5,2,5,3,0,1,1,0,0,0,0,"737298,011400000190000","5695375,488500000900000",12.408661689000041,51.35999679000008,0,1,1,1,Nordost
225066,14200129144200195720,14,7,13,000,2020,01,13,4,2,5,2,0,1,1,0,0,0,0,"736982,844399999830000","5693766,394700000100000",12.403071633000025,51.34568496500003,0,2,2,2,Ost
225067,14200129144200195661,14,7,13,000,2020,01,03,4,3,9,1,2,0,1,0,0,0,0,"737454,350100000390000","5693057,518300000600000",12.409356926000044,51.33912533100005,0,2,2,2,Ost
225068,14200124148110188590,14,7,13,000,2020,01,22,6,3,5,3,2,1,0,0,0,0,1,"736045,035000000150000","5697775,893999999400000",12.392290974000048,51.38206508300004,1,9,9,9,Nord
225070,14200129144200192650,14,7,13,000,2020,01,15,4,3,5,2,0,0,1,0,0,0,0,"739101,384399999860000","5699445,936100000500000",12.437254842000073,51.395776125000054,0,1,1,1,Nordost
