OID_,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstige,ULICHTVERH,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLAE,IstStrassenzustand,index_right,FID,SBZ,Name
227793,14,7,13,000,2021,11,07,2,3,6,4,1,0,1,0,0,1,0,"733445,275709532201290","5695776,499732146039605",12.353684980000025,51.36519236500004,14211115148110878550,1,8,8,8,Nordwest
227796,14,7,13,000,2021,11,16,2,3,6,2,0,1,1,0,0,1,0,"736537,211492948234081","5695717,034011188894510",12.397980976000042,51.36337974300005,14211101144200834310,0,9,9,9,Nord
227797,14,7,13,000,2021,10,21,6,3,3,6,1,0,0,0,0,2,0,"731114,549802144058049","5686910,003524132072926",12.31451333700005,51.28655153700004,14211001148322834380,0,5,5,5,Südwest
227799,14,7,13,000,2021,12,16,7,3,5,2,0,1,0,0,1,1,0,"734805,699595967307687","5692638,474340613931417",12.371122590000027,51.33646365900006,14211204144200978990,0,0,0,0,Mitte
227803,14,7,13,000,2021,10,11,6,3,3,2,1,1,0,0,0,0,0,"735663,601605391129851","5696053,084552202373743",12.385677359000056,51.36675923200005,14211008148110769720,0,9,9,9,Nord
227805,14,7,13,000,2021,12,19,6,3,8,1,0,1,0,0,0,2,0,"730064,154292792081833","5690056,114118235185742",12.301503747000027,51.31521964500007,14211224148310066740,1,6,6,6,West
227807,14,7,13,000,2021,12,14,5,3,5,3,1,1,0,0,0,0,0,"734964,317622609436512","5695237,982459560036659",12.375111349000065,51.35973226300007,14211216144200031560,0,0,0,0,Mitte
227808,14,7,13,000,2021,11,10,6,3,5,3,1,1,0,0,0,0,0,"738086,396081962622702","5697555,512356925755739",12.421424529000035,51.379234677000056,14211126148110902740,0,1,1,1,Nordost
227810,14,7,13,000,2021,11,06,3,3,5,3,0,1,0,0,1,2,0,"735184,128275272436440","5688970,705146888270974",12.374126493000063,51.303383962000055,14211109148210848100,1,4,4,4,Süd
227811,14,7,13,000,2021,11,08,1,2,1,1,1,0,0,0,1,0,0,"729819,921174893155694","5690746,661438131704926",12.29845018800006,51.321517431000075,14211114148323890630,0,6,6,6,West
