FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name
122561,122562,14,7,13,000,2016,02,08,2,3,5,3,0,0,1,0,0,0,0,0,"734998,688199999980000","5693028,777900000100000",12.374145682,51.339887459,0,0,0,Mitte
122562,122563,14,7,13,000,2016,02,09,2,3,1,3,0,0,1,1,0,0,0,0,"734279,789400000010000","5693499,174900000000000",12.364152217,51.344406598,0,0,0,Mitte
122563,122564,14,7,13,000,2016,02,15,5,3,5,3,0,1,0,1,1,0,0,1,"738137,630200000010000","5690521,370900000400000",12.417454235,51.316075203,3,3,3,Südost
122565,122566,14,7,13,000,2016,02,13,6,3,0,7,0,0,0,1,0,0,0,0,"734028,902699999980000","5690861,816100000400000",12.358824024,51.320835631,4,4,4,Süd
122566,122567,14,7,13,000,2016,02,20,4,3,5,2,2,0,1,1,0,0,0,0,"734850,478499999970000","5692095,768000000200000",12.37140656,51.331573618,0,0,0,Mitte
122567,122568,14,7,13,000,2016,02,20,1,2,0,1,2,0,1,0,0,0,0,0,"735402,137899999970000","5690799,483099999800000",12.378455116,51.319709678,4,4,4,Süd
122568,122569,14,7,13,000,2016,02,11,5,3,5,3,0,0,1,1,0,0,0,0,"733653,919600000020000","5690708,913499999800000",12.353351908,51.319617185,5,5,5,Südwest
122569,122570,14,7,13,000,2016,02,10,2,2,6,4,0,0,0,1,1,0,0,0,"737377,898300000000000","5692670,842699999900000",12.408003649,51.335686426,2,2,2,Ost
122570,122571,14,7,13,000,2016,02,15,6,3,6,4,0,0,0,1,1,0,0,0,"734783,674400000020000","5693652,366499999500000",12.371475356,51.345573851,0,0,0,Mitte
122572,122573,14,7,13,000,2016,02,14,2,3,5,3,0,1,1,0,0,0,0,1,"736081,172299999980000","5692627,287700000200000",12.389392926,51.335835217,0,0,0,Mitte
122575,122576,14,7,13,000,2016,02,12,6,3,5,3,0,0,1,1,0,0,0,0,"735298,911899999950000","5690244,272199999500000",12.376610077,51.314768586,4,4,4,Süd
