OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
250979,14221029148410777060,14,7,13,000,2022,10,00,7,2,0,1,2,0,1,0,0,0,0,0,"734288,501750065013766","5690902,702041749842465",12.3625698180001,51.3210958180001,4,4,4,Süd
250983,14221022144200765780,14,7,13,000,2022,10,18,7,3,2,6,2,0,0,1,0,0,0,0,"741744,448811111971736","5698095,128051689825952",12.4742567390001,51.382532488,1,1,1,Nordost
250985,14221103148210822310,14,7,13,000,2022,11,17,5,3,4,6,2,0,1,0,0,0,0,0,"734285,323732238961384","5689903,906643140129745",12.361868165,51.312131422,4,4,4,Süd
250988,14221121148410886700,14,7,13,000,2022,11,08,2,3,5,3,0,2,1,1,0,0,0,0,"734282,281065098010004","5693502,620315919630229",12.364190197,51.344436499,0,0,0,Mitte
251010,14221206148310888800,14,7,13,000,2022,12,16,3,3,5,2,2,1,0,1,0,0,0,0,"730723,459684066008776","5693725,629568150267005",12.313324058,51.3478938160001,7,7,7,Alt-West
251011,14221214148310928980,14,7,13,000,2022,12,23,4,3,5,3,2,2,0,1,0,0,0,0,"730297,061941448017024","5693544,402705930173397",12.3070944670001,51.3464398470001,7,7,7,Alt-West
251013,14221227148310944530,14,7,13,000,2022,12,13,3,3,1,5,0,0,1,1,0,0,0,0,"729885,584666184033267","5690776,693884479813278",12.299410299,51.32176051,6,6,6,West
251017,14221109148221843610,14,7,13,000,2022,11,07,4,3,5,7,0,1,1,1,0,0,0,0,"735995,740631283028051","5693366,653857169672847",12.3886585760001,51.3425074020001,0,0,0,Mitte
251024,14221215144200930680,14,7,13,000,2022,12,11,5,3,9,1,0,1,0,1,0,0,0,0,"739946,774026119033806","5693306,676856770180166",12.445241771,51.340315526,2,2,2,Ost
251026,14221117148410843840,14,7,13,000,2022,11,11,5,3,2,2,0,1,1,1,0,0,0,0,"736204,157531937002204","5692093,562205299735069",12.39080147,51.3309933130001,0,0,0,Mitte
251029,14221105148210806810,14,7,13,000,2022,11,15,7,3,2,6,0,0,1,1,0,0,0,0,"738554,960658557014540","5690203,063443659804761",12.4232188940001,51.313043319,3,3,3,Südost
251033,14221029148410777070,14,7,13,000,2022,10,01,7,3,0,1,2,0,0,0,0,0,0,1,"735108,851675939979032","5693906,888430319726467",12.376304255,51.3477241480001,0,0,0,Mitte
