UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
40,44353,44354,14,7,13,000,2016,01,11,6,2,5,3,0,0,0,1,0,0,0,0,"733764,456000000010000","5696902,257000000200000",12.359002045,51.375166448,9,9.0,9,Nord,,,,,,,,,,
41,44356,44357,14,7,13,000,2016,01,10,7,3,2,6,0,2,0,1,0,0,0,1,"739489,056899999970000","5694456,326000000400000",12.439455697,51.350827451,2,2.0,2,Ost,,,,,,,,,,
42,44357,44358,14,7,13,000,2016,01,17,5,3,6,2,1,1,0,1,1,0,0,0,"734767,418999999990000","5693524,703200000300000",12.37115819,51.344434608,0,0.0,0,Mitte,,,,,,,,,,
43,44393,44394,14,7,13,000,2016,02,02,1,2,0,7,2,1,1,0,0,0,0,0,"734779,815900000050000","5693527,166000000200000",12.371337497,51.344451596,0,0.0,0,Mitte,,,,,,,,,,
44,44406,44407,14,7,13,000,2016,02,15,3,3,3,6,0,0,0,0,0,0,0,1,"737274,010600000040000","5690918,001600000100000",12.405348077,51.319996109,0,0.0,0,Mitte,,,,,,,,,,
45,44428,44429,14,7,13,000,2016,01,14,3,3,6,4,0,0,0,0,1,0,0,1,"738632,300900000030000","5694503,783099999700000",12.42720677,51.351613738,2,2.0,2,Ost,,,,,,,,,,
46,44444,44445,14,7,13,000,2016,03,16,4,3,5,2,0,0,1,1,0,0,0,0,"729945,812999999970000","5693107,654000000100000",12.301777438,51.342661324,7,7.0,7,Alt-West,,,,,,,,,,
47,44461,44462,14,7,13,000,2016,03,14,3,3,6,2,0,1,0,0,1,0,0,1,"736427,465399999990000","5692753,488800000400000",12.394439016,51.336824171,3,3.0,3,Südost,,,,,,,,,,
48,44467,44468,14,7,13,000,2016,03,17,7,3,5,2,1,0,0,1,0,0,0,0,"735097,864300000020000","5697039,235899999700000",12.378216955,51.375845611,9,9.0,9,Nord,,,,,,,,,,
49,44471,44472,14,7,13,000,2016,03,12,4,3,5,3,0,0,0,1,0,0,0,0,"736236,844000000040000","5693697,804999999700000",12.392333757,51.345379759,0,0.0,0,Mitte,,,,,,,,,,
