OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
165547,14,7,13,000,2018,01,15,5,3,6,4,0,0,1,1,0,0,0,1,"730767,352100000020000","5693695,272199999500000",12.313933569000028,51.347603485000036,7,7,7,Alt-West
165551,14,7,13,000,2018,01,16,5,3,6,4,2,0,1,1,0,0,0,0,"735415,445500000030000","5690313,171600000000000",12.378324725000027,51.31533886400007,4,4,4,Süd
165579,14,7,13,000,2018,01,07,4,3,5,2,2,1,1,0,0,0,0,1,"735018,728899999990000","5692401,164699999600000",12.374018828000032,51.334245485000054,0,0,0,Mitte
165584,14,7,13,000,2018,01,07,4,2,6,2,1,0,1,1,0,0,0,1,"734635,528799999970000","5695386,329400000200000",12.370495134000066,51.36119973700005,9,9,9,Nord
165585,14,7,13,000,2018,01,15,4,3,1,6,0,0,1,0,0,0,0,1,"739760,856499999990000","5688234,207299999900000",12.43916727900006,51.29486456200004,3,3,3,Südost
165605,14,7,13,000,2018,01,06,3,3,5,3,2,1,1,0,0,0,0,1,"735177,499300000020000","5689047,424200000200000",12.374082118000047,51.30407536300004,4,4,4,Süd
165607,14,7,13,000,2018,01,08,3,3,4,1,0,0,1,0,0,0,0,1,"736180,515299999970000","5694449,866600000300000",12.392025361000037,51.35215381300003,1,1,1,Nordost
165617,14,7,13,000,2018,01,16,2,3,0,7,0,0,0,0,1,0,0,1,"735405,224799999970000","5692335,118200000400000",12.379513520000046,51.33349279400005,0,0,0,Mitte
165618,14,7,13,000,2018,01,23,2,2,5,2,2,1,1,0,0,0,0,1,"739050,927400000040000","5694927,862900000100000",12.433492299000022,51.355244292000066,1,1,1,Nordost
165619,14,7,13,000,2018,01,06,2,2,5,2,2,0,1,0,0,0,0,1,"733821,803700000050000","5692555,790400000300000",12.356968539000036,51.336126817000036,0,0,0,Mitte
165620,14,7,13,000,2018,01,17,2,3,5,3,2,1,1,0,0,0,0,1,"735295,430199999940000","5695975,811200000300000",12.38034676600006,51.36621821300008,9,9,9,Nord
165629,14,7,13,000,2018,02,05,1,2,0,1,2,1,0,0,0,0,0,1,"733466,324600000050000","5692218,723799999800000",12.351653444000021,51.333247150000034,0,0,0,Mitte
165632,14,7,13,000,2018,01,06,1,3,8,1,2,1,1,0,0,0,0,1,"735058,999900000050000","5690455,118599999700000",12.373312634000058,51.31676036400006,4,4,4,Süd
165635,14,7,13,000,2018,01,11,1,3,5,3,0,0,1,0,0,0,0,0,"731774,665099999980000","5691017,508999999600000",12.326630842000043,51.32315592900005,5,5,5,Südwest
165642,14,7,13,000,2018,02,07,7,3,8,1,1,0,1,0,0,0,0,0,"741464,261100000000000","5693990,860500000400000",12.467451610000069,51.34581408000008,2,2,2,Ost
165644,14,7,13,000,2018,02,09,7,3,5,3,0,1,1,0,0,0,0,0,"734404,895999999950000","5692968,703999999900000",12.365596202000063,51.33959328900005,0,0,0,Mitte
165645,14,7,13,000,2018,01,03,7,3,0,1,2,1,0,0,0,0,0,1,"736919,524800000010000","5693160,106100000400000",12.401760719000038,51.34026924300008,2,2,2,Ost
165646,14,7,13,000,2018,02,15,7,3,5,3,0,0,1,0,0,0,0,1,"731735,063700000060000","5690587,516400000100000",12.32578400400007,51.319312084000046,5,5,5,Südwest
165647,14,7,13,000,2018,01,08,7,3,5,3,0,0,1,0,0,0,0,1,"737561,554000000000000","5692607,672000000300000",12.410593234000032,51.33504272000005,2,2,2,Ost
165652,14,7,13,000,2018,02,15,6,3,3,6,0,1,1,0,0,0,0,0,"730739,470500000050000","5693713,230499999600000",12.31354553400007,51.347776012000054,7,7,7,Alt-West
