OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
159030,14170123148120915020,14,7,13,000,2017,01,16,2,3,0,1,0,0,0,1,0,0,1,"737498,405400000050000","5697058,915500000100000",12.412659073000043,51.37502347100008,1,1,1,Nordost
159031,14170123148110915070,14,7,13,000,2017,01,07,2,3,2,6,0,1,0,0,0,1,2,"736123,902600000030000","5695573,309100000200000",12.391959352000072,51.362261559000046,9,9,9,Nord
159032,14170123144200915270,14,7,13,000,2017,01,15,2,2,5,2,0,1,0,0,0,0,0,"735739,208699999960000","5695364,434600000300000",12.386305113000049,51.36054639000008,9,9,9,Nord
159033,14170123144200895320,14,7,13,000,2017,01,21,2,3,5,3,0,1,0,0,0,1,1,"734977,557999999960000","5696036,123999999800000",12.375828458000058,51.36689116400004,9,9,9,Nord
159042,14170122148410925180,14,7,13,000,2017,01,01,1,3,3,6,0,1,0,0,0,2,1,"735762,247600000000000","5692887,699400000300000",12.384995091000064,51.33830504100007,0,0,0,Mitte
159043,14170122148410897120,14,7,13,000,2017,01,15,1,3,2,6,0,1,0,0,0,0,0,"733391,661399999980000","5693501,532999999800000",12.351424114000054,51.34479303900008,0,0,0,Mitte
159049,14170121148410897050,14,7,13,000,2017,01,09,7,3,2,2,0,1,0,0,0,0,0,"736065,133000000030000","5693821,957899999800000",12.389954958000033,51.34656550500006,0,0,0,Mitte
159050,14170121148210895830,14,7,13,000,2017,01,15,7,3,3,6,1,1,0,0,0,0,1,"738234,677499999990000","5692403,547500000300000",12.420102102000044,51.33292895500006,2,2,2,Ost
159051,14170121144200895800,14,7,13,000,2017,01,15,7,2,8,1,0,1,0,0,0,0,0,"739639,029499999950000","5692335,628300000000000",12.440178433000028,51.331729402000065,2,2,2,Ost
159057,14170120144200895230,14,7,13,000,2017,01,19,6,3,2,2,0,1,0,0,0,2,1,"736839,668599999980000","5695882,025299999900000",12.402427575000047,51.36473472100005,1,1,1,Nordost
159063,14170119144200997730,14,7,13,000,2017,01,12,5,3,6,4,0,1,1,0,0,0,0,"730920,526900000060000","5691779,221599999800000",12.314887063000072,51.33034107100008,7,7,7,Alt-West
159064,14170119144200903980,14,7,13,000,2017,01,19,5,3,3,2,1,1,0,0,0,2,1,"734744,267200000000000","5690902,770300000000000",12.369099001000052,51.32090859400006,4,4,4,Süd
159065,14170119144200896230,14,7,13,000,2017,01,10,5,3,5,3,0,1,0,0,0,0,0,"732057,994900000050000","5692938,025500000500000",12.33194078300005,51.34028049300008,7,7,7,Alt-West
159066,14170119144200895700,14,7,13,000,2017,01,17,5,3,5,3,0,1,0,0,0,2,2,"739759,484999999990000","5688233,365600000100000",12.439147079000065,51.294857585000045,3,3,3,Südost
159080,14170118148110894960,14,7,13,000,2017,01,08,4,3,5,3,0,1,0,0,1,0,1,"736523,635499999970000","5699827,051099999800000",12.400522269000021,51.40027721400003,9,9,9,Nord
159087,14170117144200989780,14,7,13,000,2017,01,17,3,2,6,4,0,1,1,0,0,2,1,"737422,108099999950000","5697076,047700000000000",12.411576274000026,51.37520914900006,1,1,1,Nordost
159097,14170115148210895520,14,7,13,000,2017,01,09,1,3,8,1,0,1,0,0,0,0,1,"737777,006399999950000","5690339,024199999900000",12.41216730900004,51.314589228000045,3,3,3,Südost
159101,14170114144200895490,14,7,13,000,2017,01,20,7,3,1,1,0,1,0,0,0,2,2,"737786,042000000020000","5691448,170699999700000",12.413036345000023,51.324541201000045,3,3,3,Südost
159107,14170113144200942170,14,7,13,000,2017,01,17,6,3,2,6,0,1,0,0,0,2,1,"735547,621900000030000","5692911,949799999600000",12.381935369000075,51.33861165900004,0,0,0,Mitte
159108,14170113144200877350,14,7,13,000,2017,01,21,6,3,5,2,0,1,0,0,0,2,1,"734785,626500000010000","5692497,857400000100000",12.370742262000022,51.33520971100006,0,0,0,Mitte
159109,14170113144200876250,14,7,13,000,2017,01,17,6,3,2,6,0,1,0,0,0,2,1,"732934,033999999990000","5691046,791799999800000",12.34325990800005,51.32294534400006,5,5,5,Südwest
159120,14170112148210870810,14,7,13,000,2017,01,17,5,3,2,6,0,1,0,0,1,1,0,"735037,643000000040000","5691567,233000000000000",12.373739841000031,51.326751976000025,0,0,0,Mitte
159126,14170111144200927380,14,7,13,000,2017,01,07,4,3,5,2,0,1,0,0,1,2,0,"734005,667000000020000","5695599,555999999900000",12.36160430600006,51.36337349900003,9,9,9,Nord
159127,14170111144200896560,14,7,13,000,2017,01,16,4,3,5,3,0,1,0,0,0,1,1,"736082,317999999970000","5692628,802100000000000",12.38941034800007,51.33584833500004,0,0,0,Mitte
159133,14170110148320868700,14,7,13,000,2017,01,07,3,3,6,2,0,1,1,0,0,1,0,"729837,925500000010000","5694448,757299999700000",12.301096929000039,51.35474406900005,7,7,7,Alt-West
159134,14170110144200955930,14,7,13,000,2017,01,12,3,3,2,6,0,1,0,0,0,0,1,"735650,820599999980000","5696613,828200000300000",12.385865714000033,51.371797892000075,9,9,9,Nord
159135,14170110144200863800,14,7,13,000,2017,01,12,3,3,0,3,0,1,0,0,1,0,0,"736509,993600000050000","5693465,159900000300000",12.396094236000067,51.343177936000075,0,0,0,Mitte
159136,14170110144200863760,14,7,13,000,2017,01,18,3,2,6,2,0,1,1,0,0,2,2,"736747,572000000040000","5689060,222000000100000",12.39657403900003,51.303539569000066,4,4,4,Süd
159149,14170109144200853720,14,7,13,000,2017,01,17,2,2,6,2,0,1,1,0,0,2,1,"735856,689800000050000","5692451,582899999800000",12.38605977900005,51.33435118300008,0,0,0,Mitte
159150,14170109144200000190,14,7,13,000,2017,01,16,2,2,4,6,0,1,0,0,1,0,1,"740844,141700000040000","5693944,018000000200000",12.458532388000037,51.34565667500004,2,2,2,Ost
159156,14170108148210868690,14,7,13,000,2017,01,00,1,3,9,1,0,1,0,0,0,2,2,"740523,914699999960000","5687416,944799999700000",12.449541103000058,51.28720730800006,3,3,3,Südost
159157,14170108144200840920,14,7,13,000,2017,01,09,1,3,9,1,0,1,0,0,0,0,2,"731820,932299999990000","5689250,677500000200000",12.326145336000025,51.30727650800003,5,5,5,Südwest
159158,14170107148410842120,14,7,13,000,2017,01,23,7,3,2,6,0,1,0,0,0,2,2,"737074,314299999970000","5692966,396900000100000",12.403850090000049,51.338465978000045,3,3,3,Südost
159159,14170107148210863880,14,7,13,000,2017,01,14,7,3,0,7,0,0,0,0,1,0,0,"736746,107100000020000","5688813,269100000200000",12.396389266000028,51.30132347500006,4,4,4,Süd
159167,14170106148210863890,14,7,13,000,2017,01,16,6,3,5,3,0,1,0,0,0,1,2,"739646,706400000020000","5691406,301199999600000",12.439663586000052,51.323384737000026,2,2,2,Ost
159168,14170106144200860910,14,7,13,000,2017,01,12,6,3,4,1,0,1,0,0,0,0,2,"727420,205800000000000","5688242,677799999700000",12.262472744000036,51.30000230500008,6,6,6,West
159169,14170106144200841200,14,7,13,000,2017,01,14,6,3,5,3,1,1,0,0,0,0,2,"733704,511999999990000","5697348,756500000100000",12.35843589600006,51.379199103000076,9,9,9,Nord
159180,14170105148410871390,14,7,13,000,2017,01,18,5,3,5,3,1,1,0,0,0,2,0,"735060,595300000040000","5690779,976499999900000",12.373549617000037,51.31967576300008,4,4,4,Süd
159181,14170105148210867570,14,7,13,000,2017,01,07,5,3,3,5,1,0,0,0,1,0,1,"735055,783199999950000","5690547,047899999700000",12.373327148000044,51.31758688800005,4,4,4,Süd
159182,14170105148110841210,14,7,13,000,2017,01,17,5,3,6,2,0,1,1,0,0,2,2,"737505,179899999990000","5697075,554800000000000",12.412767350000024,51.375169991000064,1,1,1,Nordost
