OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
256294,14,7,13,000,2019,01,07,3,3,0,7,1,1,0,0,0,0,0,"737750,028459769670000","5694726,170806538300000",12.414708450000035,51.353979596000045,1,1,1,1,Nordost
256295,14,7,13,000,2019,01,18,5,3,9,1,2,0,1,0,0,0,0,"735999,871394326910000","5700684,392358006900000",12.393576454000026,51.408190872000034,1,9,9,9,Nord
256297,14,7,13,000,2019,01,09,6,3,2,6,0,0,1,0,0,0,0,"732458,888879848640000","5691741,523892374700000",12.336905738000041,51.32937609100003,1,5,5,5,Südwest
256301,14,7,13,000,2019,01,17,7,3,5,3,2,0,1,0,0,0,0,"736759,103249403650000","5699845,780026415400000",12.403913689000035,51.40034712600004,0,9,9,9,Nord
256306,14,7,13,000,2019,01,07,2,3,8,1,1,0,1,0,0,0,0,"741084,441999999810000","5689636,377000000300000",12.45906293400003,51.30689123800005,2,3,3,3,Südost
256312,14,7,13,000,2019,01,08,6,3,5,3,0,0,1,0,0,0,0,"734922,017998649740000","5690450,111420465600000",12.37134717400005,51.31677197800008,2,4,4,4,Süd
256320,14,7,13,000,2019,01,06,5,3,5,3,2,1,1,0,0,0,0,"732367,486804103480000","5698830,200569445300000",12.34022651500004,51.39304615700007,0,8,8,8,Nordwest
256321,14,7,13,000,2019,01,10,2,3,5,3,0,0,1,0,0,0,0,"740846,410588703120000","5694779,070784859400000",12.459129877000066,51.353150783000046,0,2,2,2,Ost
256334,14,7,13,000,2019,01,18,2,3,5,2,2,0,1,0,0,0,0,"733226,382724622260000","5693908,008845789400000",12.34932139800003,51.34850963000008,1,0,0,0,Mitte
256336,14,7,13,000,2019,01,11,2,3,5,3,0,0,1,0,0,0,0,"731897,193212826740000","5689083,244138961700000",12.327128734000041,51.30574242500006,1,5,5,5,Südwest
256337,14,7,13,000,2019,01,12,7,3,5,3,0,0,1,0,0,0,0,"738793,778438987210000","5696433,686390463300000",12.430816833000051,51.36886838400005,1,1,1,1,Nordost
256338,14,7,13,000,2019,01,22,3,3,0,1,2,1,0,0,0,0,0,"737705,309000000360000","5692553,898000000000000",12.412617271000045,51.33449998000003,1,2,2,2,Ost
256339,14,7,13,000,2019,01,18,2,3,1,7,2,0,1,0,0,0,0,"732261,267910181540000","5696530,991321237800000",12.337199371000054,51.37245046500004,1,8,8,8,Nordwest
256343,14,7,13,000,2019,01,07,2,3,5,3,1,1,1,0,0,0,0,"734555,942949110640000","5691370,222701501100000",12.366708687000028,51.32518232400008,1,4,4,4,Süd
256345,14,7,13,000,2019,01,15,5,3,3,5,0,1,1,0,0,0,0,"736910,797774175180000","5693046,597591267900000",12.401560150000023,51.33925401300007,0,2,2,2,Ost
256348,14,7,13,000,2019,01,08,2,3,1,5,1,1,1,0,0,0,0,"738018,508464892390000","5691373,004571640900000",12.416316478000056,51.32376930800007,0,3,3,3,Südost
256353,14,7,13,000,2019,01,00,6,3,5,3,2,1,0,0,0,0,1,"735277,192938991820000","5691050,774217693100000",12.376831085000049,51.322017035000044,1,4,4,4,Süd
256356,14,7,13,000,2019,01,07,2,3,9,1,1,1,0,0,0,0,0,"741445,381146022120000","5695529,966538237400000",12.46822512600005,51.35963630500004,2,2,2,2,Ost
256359,14,7,13,000,2019,01,16,2,3,5,3,1,0,1,0,0,0,0,"733454,134833674880000","5695492,039131503600000",12.353625305000037,51.36263525700008,2,9,9,9,Nord
256362,14,7,13,000,2019,01,12,6,3,6,4,0,0,1,1,0,0,0,"739523,581639654000000","5689429,963745832400000",12.436572650000073,51.305697329000054,0,3,3,3,Südost
256363,14,7,13,000,2019,01,13,3,3,5,3,0,0,1,0,0,0,0,"738648,568848352880000","5695291,077816879400000",12.427967938000052,51.358673546000034,0,1,1,1,Nordost
256374,14,7,13,000,2019,01,15,1,3,6,7,0,0,1,1,0,0,0,"735313,120674503040000","5689719,522720797000000",12.376467453000032,51.31005235500004,0,4,4,4,Süd
256377,14,7,13,000,2019,01,17,1,1,6,4,2,0,1,1,0,0,0,"730626,757142035290000","5691669,133712369900000",12.310606286000052,51.32947199800003,1,6,6,6,West
256379,14,7,13,000,2019,01,14,7,3,5,3,0,0,1,0,0,0,0,"736073,727311030960000","5691522,995183188500000",12.388554680000027,51.32592590400003,0,0,0,0,Mitte
256382,14,7,13,000,2019,01,22,7,3,4,7,2,0,1,0,0,0,0,"735416,169890738090000","5693300,995656276100000",12.380308695000053,51.34215829000004,1,0,0,0,Mitte
256384,14,7,13,000,2019,01,00,1,2,8,1,2,0,1,0,0,0,0,"734786,567414726130000","5692745,236148912500000",12.370918784000025,51.33742989500007,1,0,0,0,Mitte
256386,14,7,13,000,2019,01,20,7,3,5,3,2,1,1,0,0,0,0,"735629,840999908750000","5690915,231979919600000",12.381793457000072,51.320654439000066,1,4,4,4,Süd
256388,14,7,13,000,2019,01,10,7,3,5,3,0,1,1,0,0,0,0,"729145,639932789840000","5694601,683935375900000",12.291269948000036,51.35639645200007,1,7,7,7,Alt-West
256390,14,7,13,000,2019,01,17,3,2,5,2,2,0,1,0,0,0,1,"736685,558148581530000","5693032,084649035700000",12.398322630000052,51.339217535000046,1,3,3,3,Südost
